cust_id,name,email,country,city,segment,created_at,updated_at
1,Allison Hill,donaldgarcia@example.net,Uganda,New Roberttown,Home Office,2024-05-06,2026-02-27
2,Kristina Baldwin,lrobinson@example.com,Sudan,Port Lindachester,Consumer,2024-11-02,2026-02-27
3,Gabrielle Davis,howardmaurice@example.com,Sri Lanka,Lake Stephenville,Consumer,2026-02-07,2026-02-27
4,Sandra Montgomery,barbara10@example.net,Denmark,Traciebury,Home Office,2025-11-21,2026-02-27
5,Roy Martin,jason41@example.net,North Macedonia,New Jessica,Corporate,2024-06-26,2026-02-27
6,Margaret Hawkins DDS,perezantonio@example.com,Iran,Carlshire,Consumer,2025-11-28,2026-02-27
7,Jennifer Rocha,ithomas@example.org,Samoa,Juliechester,Consumer,2025-12-14,2026-02-27
8,Zachary Hicks,camposmichelle@example.org,Niue,Port Erin,Consumer,2025-05-08,2026-02-27
9,Julie King,frazierdanny@example.net,Sao Tome and Principe,Kaylamouth,Home Office,2024-05-19,2026-02-27
10,Troy Liu,teresa28@example.org,Trinidad and Tobago,Meaganhaven,Consumer,2025-05-17,2026-02-27
11,Kimberly Osborne,georgetracy@example.org,Vanuatu,Natashaport,Home Office,2024-08-20,2026-02-27
12,Angela Dennis,spenceamanda@example.org,Brunei Darussalam,Arroyoburgh,Home Office,2024-09-08,2026-02-27
13,Daniel Ryan,jenniferross@example.net,Pakistan,Samuelhaven,Home Office,2025-01-22,2026-02-27
14,Alex Spencer,adrianzimmerman@example.org,Denmark,North Micheleland,Consumer,2025-03-09,2026-02-27
15,Mr. Nathaniel Khan,esanchez@example.com,Comoros,North Donnastad,Home Office,2025-01-02,2026-02-27
16,Megan Joyce,brownjessica@example.org,Egypt,East Amanda,Corporate,2024-06-09,2026-02-27
17,Shannon Jones,williamsyvette@example.org,Bermuda,East Richard,Consumer,2025-02-13,2026-02-27
18,Carmen Smith,ybaker@example.com,France,Hortonside,Consumer,2025-06-25,2026-02-27
19,Daniel Brown,adkinsbrian@example.net,Lesotho,North Susan,Consumer,2024-04-26,2026-02-27
20,Megan Young,davidashley@example.net,Nepal,New Christophershire,Consumer,2025-04-15,2026-02-27
21,Michael Edwards,randy47@example.com,Vanuatu,North Stephenshire,Consumer,2026-02-24,2026-02-27
22,Derek Mahoney,suarezmike@example.org,Kazakhstan,Cherylhaven,Home Office,2024-03-04,2026-02-27
23,Matthew Mcmillan,josephpreston@example.net,Micronesia,West Juan,Home Office,2024-07-30,2026-02-27
24,Sarah Wagner,rebecca01@example.net,Jamaica,Bradleymouth,Consumer,2025-09-12,2026-02-27
25,Patrick Arnold,hhoffman@example.org,Western Sahara,New Barry,Home Office,2024-11-23,2026-02-27
26,Andrew Diaz,nolanjason@example.org,Papua New Guinea,West Kimberlychester,Consumer,2026-02-07,2026-02-27
27,Cynthia Martin,nicolejohnson@example.net,Uzbekistan,Kimberlychester,Home Office,2025-10-05,2026-02-27
28,Debra Cobb,reyesbenjamin@example.com,Cyprus,Port Samantha,Home Office,2024-11-09,2026-02-27
29,Courtney Keller,emurphy@example.com,Guernsey,Frazierside,Home Office,2024-10-26,2026-02-27
30,Debbie Carpenter,benjamin96@example.com,Saint Lucia,Samuelhaven,Home Office,2024-05-22,2026-02-27
31,Andrew Graham,michaeljones@example.net,Uruguay,Cindyville,Corporate,2025-08-06,2026-02-27
32,Jason Powell,angela36@example.net,Wallis and Futuna,Byrdburgh,Consumer,2025-05-22,2026-02-27
33,April Mitchell,mfloyd@example.net,Gibraltar,Ramosborough,Corporate,2025-03-07,2026-02-27
